,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_5_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,ProductType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
0,REVLIMID,,BRAND,202612,2025-07-18,,0.0,,,1.0,,,,,,,0.0,0.0,0.0,,,,
1,REVLIMID,,BRAND,202612,2025-07-25,-0.09739459720458785,6131980.790447863,,0.4592644449392991,0.9976905311778291,2.177394769003226,1.3888988025404758,1.216497192976028,1.0,-0.0,1.0,0.20023148148148148,0.20092378752886836,0.0,,3.0241809873264764,1.0,0.9613331930716176
2,REVLIMID,,BRAND,202612,2025-08-01,-0.008928286015911311,2653641.42601327,,0.08809910521324321,0.9976905311778291,11.350853082781121,5.303500513788026,2.9316720582655935,1.0,-0.0,1.0,0.21875,0.2586605080831409,0.0,,60.19925515646207,1.0,2.5290984349224472
3,REVLIMID,,BRAND,202612,2025-08-08,-0.053298169009644875,8066822.150573649,,0.1714018904126813,0.9976662777129521,5.834241370339134,1.3646760639913347,1.338914057394079,1.0,-0.0,1.0,0.5473684210526316,0.6254375729288215,0.0,,7.96184954964982,1.0,0.9657848557793421
4,REVLIMID,,BRAND,202612,2025-08-15,0.41594781265077446,14986528.07872416,,0.6816427661295055,0.9976958525345622,1.4670441024089291,0.811219379999969,0.5807265418730566,1.0,0.0,1.0,0.31524249422632794,0.3951612903225806,0.0,,1.1900946071887823,1.0,0.7367381360245652
5,REVLIMID,,BRAND,202612,2025-08-22,0.022585640136888522,5571195.822306645,,0.14621537331850873,0.9965635738831615,6.839226117637075,4.170801074359353,3.8423278262027725,1.0,0.0,1.0,0.2206896551724138,0.30469644902634596,0.0,,28.52505163922726,1.0,2.0771024075978843
6,REVLIMID,,BRAND,202612,2025-08-26,,0.0,,,0.9965556831228473,,,,,,,0.0,0.0,0.0,,,,
7,REVLIMID,,BRAND,202612,2025-08-29,0.008437414252145281,4116423.048160113,,0.07560101965221726,0.960919540229885,8.766399563424685,5.363707238839515,3.4606588419606696,1.0,0.0,1.0,0.19736842105263158,0.2264367816091954,0.0,,47.020400796900546,1.0,2.5373986043480667
8,REVLIMID,,BRAND,202612,2025-09-05,-0.23741579795797382,11854308.967300285,,0.7447963397281904,0.8788927335640139,1.0330624831021784,0.7705142308499547,0.5295430822057108,1.0,-0.0,1.0,0.4041994750656168,0.5432525951557093,0.013123359580052493,,0.7959893445874193,1.0,0.6778712056041111
9,REVLIMID,,BRAND,202612,2025-09-12,-0.0881946184076648,4401863.985152468,,0.5532091807325134,0.8900584795321638,0.6654689920799505,1.1555968963152288,1.0312610808859672,1.0,-0.0,1.0,0.1616294349540079,0.3087719298245614,0.003942181340341655,,0.7690139018416143,1.0,0.8285545479997758
10,REVLIMID,,BRAND,202612,2025-09-18,-0.32244176217983256,15710544.80580843,,0.7550993708661892,0.8482352941176471,0.9041144454784672,0.8069170937995932,0.6455923517606991,1.0,-0.0,1.0,0.49791955617198336,0.7658823529411765,0.008321775312066574,,0.7295454008077155,1.0,0.687590366931602
